,index,ticker,activity_domain,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio
10,15,ALK,Industrials,5974722560,9646000000.0,6176000000.0,3566000000.0,8781000000.0,58000000.0,478000000.0,-1307000000.0,769000000.0,0.43,0.46,3.82,-10.72,6.24,7.27,108.62791,6.425034,14.941939534883721,-954750016,0.04129,0.01519916142557652,0.1257563799000263,-0.43494176372712146,0.17755714615562226,0.0,-6.244495009256957,46.61,1.015461215932914,1.0749802683504341,1.68153078202995,0.004061340242279952,0.0342627768618737,-0.0930514025345294,0.05918571538520742,0.00017001922938032304,0.00390711942772057,-0.0048406951686509325,0.0014872445533737624,0.32,1.50556
11,16,ALB,Basic Materials,22489790464,7320104000.0,3327957000.0,3128909000.0,3589427000.0,2689816000.0,123672000.0,375764000.0,533228000.0,31.2,22.97,1.07,3.53,5.03,23.45,6.143269,8.17356,0.2619730769230769,21526376,0.49376,0.336958748041215,0.02198509368268096,0.08803749191408985,0.13560378917922308,0.0478,1058.6546439586486,194.22,0.40301269243821614,0.42562236168031875,0.83689503861908,0.17402466091660207,0.011269425023496194,0.03595502263622834,0.05407518591425517,2.337846235679712,0.13776417275996203,0.5725979970864495,0.9196551301885263,2.34,2.2913601
12,17,ARE,Real Estate,21055776768,2588962000.0,2114150000.0,1885637000.0,1531296000.0,521660000.0,571247000.0,770959000.0,363165000.0,3.39,3.18,3.83,6.03,3.13,3.96,35.896755,30.729797,9.064836873156342,1393817600,0.03396,0.027495749480547702,0.03528493888214997,0.06574944020456924,0.040962342369453224,1.4277,15.198414799755724,122.43,0.5355025701299473,0.5430583521139758,0.6450172066310345,0.014684968631520875,0.018903337273079756,0.033772696700061215,0.019747420720357674,0.3154866408347339,0.29829398442962496,0.3966934281743465,0.24414716393588098,-4.12,1.1201421
13,18,ALGN,Healthcare,26568998912,3734635000.0,3952584000.0,2471941000.0,2406796000.0,361573000.0,772020000.0,1775888000.0,442776000.0,3.99,4.62,9.78,22.55,5.57,10.38,87.02506,33.45183,8.383917293233083,683862976,0.0868,0.10039907168351495,0.2131054231716884,0.5491534124028059,0.32891561163568617,0.0,39.474570999439514,352.8,0.027860046127044298,0.028336766302832626,0.019928166450980483,0.060789546376253854,0.12992354567653577,0.3677028078240332,0.17706068136067393,0.0020095978913236717,0.01020854603013085,0.007479170581227086,0.005689997706197127,0.95,7.303187
14,19,ALLE,Industrials,9786708992,3271900000.0,2867400000.0,2719900000.0,2854000000.0,458000000.0,483000000.0,314300000.0,401800000.0,5.54,5.2,5.37,3.41,4.29,7.19,20.086643,15.477051,2.793691516245487,366337504,0.53703,0.4849126521969296,0.6335257082896117,0.37894863756932723,0.5284061020515518,0.294,26.626181688020672,110.91,2.2175754367390152,1.8915267576075552,1.7236556546901374,0.11475245540188414,0.1583087512291052,0.10239786277448361,0.1354138581827986,0.0050374217171257635,0.018969202009360288,0.004334055852010155,0.0026533590399508587,1.56,8.578477
15,20,LNT,Utilities,12971620352,4205000000.0,3669000000.0,3416000000.0,3647700000.0,686000000.0,674000000.0,624000000.0,567400000.0,2.61,2.73,2.63,2.47,2.34,3.08,19.770115,16.753246,6.418868199233717,-640875008,0.1043,0.10930528999362651,0.11252086811352253,0.10970464135021098,0.10900847245970298,0.6743,-20.189491240076567,51.47,1.3891013384321225,1.3160267111853088,1.259845288326301,0.034022714873778705,0.03632835660001078,0.0352343308865048,0.03397462381816331,1.227191413237925,1.3036750483558994,1.28659793814433,1.2129115006412996,2.54,2.0211515
16,22,GOOGL,Communication Services,1648787849216,282836000000.0,257637000000.0,182527000000.0,161857000000.0,59972000000.0,76033000000.0,40269000000.0,34343000000.0,4.4,4.59,5.694003,2.957501,2.479501,6.66,29.475,19.472973,4.4256756818181815,68255125504,0.23329,0.2341339246673746,0.30215590041131,0.18094848659141563,0.17048579740074066,0.0,11.285747102605166,129.66,0.10619807608220376,0.10414290539869255,0.11268782802501977,0.16418809409084936,0.21163309841121392,0.12599181517821387,0.1244721991671167,1.9668109668109668,2.5731158414836375,1.945080423127083,2.6260131518580825,1.42,6.1310453
17,23,GOOG,Communication Services,1650828509184,282836000000.0,257637000000.0,182527000000.0,161857000000.0,59972000000.0,76033000000.0,40269000000.0,34343000000.0,4.39,4.59,5.694003,2.957501,2.479501,6.59,29.660595,19.758726,4.50084874715262,68255125504,0.23329,0.2341339246673746,0.30215590041131,0.18094848659141563,0.17048579740074066,0.0,11.200639918184569,130.15,0.10619807608220376,0.10414290539869255,0.11268782802501977,0.16418809409084936,0.21163309841121392,0.12599181517821387,0.1244721991671167,1.9668109668109668,2.5731158414836375,1.945080423127083,2.6260131518580825,1.43,6.155628
18,25,AMZN,Consumer Cyclical,1421680967680,513983000000.0,469822000000.0,386064000000.0,280522000000.0,-2722000000.0,33364000000.0,21331000000.0,11588000000.0,0.42,-0.27,3.298,2.132,1.173,3.11,329.90475,44.553055,106.0787023809524,21140125696,0.087139994,-0.018638346240490815,0.2413396506202756,0.22837351719412444,0.1867225265871737,0.0,66.9057591229187,137.85,0.9594297569893798,0.8419472675322797,0.9034837908440752,-0.0058831793375479545,0.07933439385184604,0.06641137004000686,0.051445517829237106,-0.00023205796490214362,0.008176153414816412,0.0026376110200511923,0.0010940839776774202,0.75,8.475655
19,27,AMD,Technology,177509990400,23601000000.0,16434000000.0,9763000000.0,6731000000.0,1320000000.0,3162000000.0,2490000000.0,341000000.0,0.18,0.85,2.61,2.1,0.31,4.12,612.38885,26.754856,148.6380888888889,3586374912,-0.00045000002,0.02410958904109589,0.4217687074829932,0.4265890011992462,0.12062256809338522,0.0,49.60342424737551,110.47,0.05229223744292238,0.08816860077364279,0.09097138941236937,0.01953240603728914,0.254609871970368,0.2778397679089489,0.05656934306569343,15.903614457831326,45.82608695652174,39.523809523809526,5.879310344827586,4.39,3.2267792
20,28,AEE,Utilities,21132146688,7957000000.0,6394000000.0,5794000000.0,5910000000.0,1074000000.0,990000000.0,871000000.0,828000000.0,4.17,4.16,3.86,3.53,3.37,4.68,19.297361,17.194445,4.123368105515588,-1400999936,0.107609995,0.10220784164446137,0.10206185567010309,0.09744909375699262,0.10274227571659014,0.5714,-15.184836126873314,81.01,1.4365245527217358,1.403298969072165,1.295144327590065,0.028334740396791895,0.027703931719602632,0.02719325632219794,0.028617841219368886,1.1210855949895615,0.8541846419327006,0.8869653767820774,0.9775678866587958,3.15,1.9762273
21,30,AEP,Utilities,41739255808,19639500000.0,16792000000.0,14918500000.0,15561400000.0,2307200000.0,2488100000.0,2200100000.0,1921100000.0,3.85,4.51,4.97,4.44,3.89,5.6,21.059742,14.478572,3.760668051948052,-4120962560,0.08191,0.09656223057413345,0.1109115061605121,0.10705613866059394,0.09785454508409654,0.85160005,-10.082300348702997,80.71,1.6908560522989613,1.6341360126954692,1.6754254071597838,0.024701482709925667,0.028380710561466065,0.027243391301332884,0.025313503477954944,0.6092099704267004,0.5629440246164985,0.5550621893685194,0.5010955188064061,2.94,1.7475269
22,32,AIG,Financial Services,43729158144,56539000000.0,51885000000.0,43839000000.0,49792000000.0,10276000000.0,9388000000.0,-5944000000.0,3348000000.0,8.0,13.16,10.95,-6.88,3.79,7.79,7.5525,7.7560973,0.9695121625,-3471249920,0.11231,0.25688715564221787,0.14233731578628175,-0.08956933184653869,0.05097830224590788,0.20120001,-12.580845077314398,60.34,0.6794410279486026,0.4573200315361756,0.5655947680901721,0.01951260268041942,0.01574871836165016,-0.010135025687106659,0.006376365547818933,0.042185293441492334,0.03154824313788746,-0.020077960857434317,0.012316113581936367,0.57,1.0329794
23,33,AMT,Real Estate,87122083840,10711100000.0,9356900000.0,8041500000.0,7580300000.0,1765800000.0,2567700000.0,1690600000.0,1887800000.0,2.99,3.83,5.69,3.81,4.27,4.81,62.52174,38.864864,12.99828227424749,4708275200,0.07738,0.3168832101069557,0.5053333858143746,0.41299621350922194,0.37342247893341773,3.0049,18.5198704605882,187.1,8.44357906826502,10.235495552231756,8.968315622328081,0.026278936520102093,0.03674026548229379,0.03579239311082177,0.044105827819520764,0.0020203835306844943,0.010660963230445488,0.004309206640825276,-0.0003706717663554632,4.22,16.865753
24,34,AWK,Utilities,27148943360,3792000000.0,3930000000.0,3777000000.0,3610000000.0,820000000.0,1263000000.0,709000000.0,621000000.0,4.55,4.51,6.96,3.91,3.44,5.14,30.654943,27.136187,5.963997142857143,-1258249984,0.10353,0.1065904068633823,0.17306111263359825,0.10985435388906105,0.10145401078255187,0.5556,-21.726803216871726,140.45,1.618614324710776,1.5157577418470813,1.7076231794236132,0.029510202612732572,0.048437200383509106,0.028627957683921505,0.0273785380477912,0.0012191741916100043,0.005441033133298157,0.0012506371848518881,0.0005694772921142124,3.58,2.7989483
25,35,AMP,Financial Services,36088590336,14271000000.0,13489000000.0,11899000000.0,12754000000.0,2559000000.0,2760000000.0,1534000000.0,1893000000.0,19.19,22.99,23.53,12.39,14.12,33.53,17.86295,10.223383,0.5327453361125586,2723500032,0.57896,0.7082756711873789,0.48548812664907653,0.2614624169081302,0.3304241577936813,0.2318,13.26859420796952,343.25,1.4904511486299474,0.9139841688654353,0.8426793932162945,0.01614837064896383,0.01568368953113724,0.009247481658759486,0.012468055958057802,0.06264535239540747,0.08610738464418308,0.04226826848892318,0.05714026985420628,0.64,8.636467
26,36,ABC,Healthcare,37828501504,238587006000.0,213988843000.0,189893926000.0,179589121000.0,1698820000.0,1539932000.0,-3408716000.0,855365000.0,7.79,8.15,7.48,-16.65,4.07,12.86,24.008986,14.543546,1.866950706033376,3313218560,2.3366401,-5.862366452254093,6.894579904546147,4.0597544650300845,0.28576883782806795,0.2333,11.307260320550661,185.225,-19.679599287745354,29.925248708328482,-4.906316546694043,0.03003538716763622,0.02685718436553335,-0.07756272472224644,0.021836144100961963,-0.02390276956176183,0.12177002577846649,0.04001297669832707,-0.0008024095815053474,1.83,55.106068
27,37,AME,Industrials,36627087360,6150530000.0,5546514000.0,4540029000.0,5158557000.0,1159542000.0,990053000.0,872439000.0,861297000.0,5.16,5.04,4.29,3.8,3.78,6.72,30.79845,23.64881,4.583102713178294,1014797248,0.16428,0.15509130460835213,0.14407300821725164,0.1466445219356884,0.168370315113385,0.176,36.27470250861382,159.72,0.31899995612927523,0.3702392240614073,0.40571266152615765,0.09327735553996744,0.08321040844289974,0.08423272333635498,0.08748964783491063,3.0316487964045087,2.640106131918241,2.9814233233660827,3.0783694914042674,2.56,4.536942
28,38,AMGN,Healthcare,140025741312,26323000000.0,25979000000.0,25424000000.0,23362000000.0,6552000000.0,5893000000.0,7264000000.0,7842000000.0,14.72,12.18,10.34,12.4,12.96,18.86,17.802988,13.895016,0.9439548913043478,10054124544,1.73457,1.7896749521988529,0.8795522388059701,0.7720267828674673,0.81071022433578,0.5485,13.781575820765962,259.32,10.63780387872166,4.971492537313432,3.505792326495908,0.10061270557884554,0.09634594948091228,0.11539683548325602,0.13134138375734838,0.010162762939646033,0.020173230583895793,0.00832031170836818,0.0007443748890310726,40.63,20.672083
29,39,APH,Technology,52334493696,12623000000.0,10876300000.0,8598900000.0,8225400000.0,1902300000.0,1590800000.0,1203400000.0,1155000000.0,3.09,3.19,2.66,2.02,1.94,3.21,28.44984,27.386293,8.862877993527508,1581162496,0.27161,0.27115285934203776,0.25242780069819104,0.2234767590855912,0.254950003311039,0.27040002,33.29829183947454,88.44,0.6525029933291522,0.7616470961599492,0.7180263328938328,0.12412078662682205,0.10837693481578374,0.09762072797774046,0.10679117932596736,0.004381810653993618,0.009819725904755383,0.002759386232149657,0.003084815454160326,4.58,6.97311
30,40,ADI,Technology,92616916992,12013953000.0,7318286000.0,5603056000.0,5991065000.0,2748561000.0,1390422000.0,1220761000.0,1363011000.0,7.04,5.29,3.5,3.31,3.68,10.03,26.237217,18.415754,2.615874147727273,3731869440,0.099139996,0.07537465114459564,0.03659723532055317,0.1017475075940088,0.1164052537204117,0.44599998,24.831269987580274,184.81,0.1795849991511113,0.17818957731230514,0.4288319374692916,0.054640807039830146,0.026574292137633466,0.05686261933298594,0.06371401268314651,22.476681522672447,10.874906144412464,14.075580255739142,17.62726967047747,2.97,2.571739
31,41,ANSS,Technology,25825933312,2065553000.0,1906715000.0,1681297000.0,1515892000.0,523710000.0,454627000.0,433887000.0,451295000.0,6.4,6.02,5.22,5.05,5.36,9.67,46.564064,30.817995,4.815311718749999,541024384,0.111899994,0.10762968286534051,0.10138763010565453,0.10588105240964091,0.13068215217617296,0.0,47.643944791663955,297.44,0.15486992922717938,0.1680570769982837,0.1947640141029295,0.07830656502109393,0.07188558316364431,0.07303769490909152,0.09326421551071558,0.0024972993989469646,0.005359711293822976,0.00145374616705484,0.003258255163384903,3.55,5.2611976
32,42,AON,Financial Services,64748027904,12479000000.0,12193000000.0,11066000000.0,11013000000.0,2589000000.0,1255000000.0,1969000000.0,1532000000.0,12.59,12.23,5.59,8.49,6.42,16.05,25.179508,19.751404,1.5688168387609214,2130749952,5.76421,-4.89413988657845,1.182846371347785,0.563376251788269,0.4539259259259259,0.1785,30.372097410705468,316.85,-21.669187145557657,9.579641847313855,2.4680972818311875,0.07916462818003914,0.03930719118015535,0.06132810066654208,0.0520999829960891,43.15,19.609375,26.60810810810811,28.90566037735849,2.41,990.6563
33,43,APA,Energy,13624646656,11075000000.0,7985000000.0,4435000000.0,6315000000.0,3604000000.0,1135000000.0,-4784000000.0,-3515000000.0,6.37,11.05,2.6,-12.86,-9.43,5.29,6.930927,8.345936,1.3101940345368916,1476625024,1.16026,8.520094562647754,-0.7115987460815048,2.9188529591214154,-1.0798771121351767,0.17930001,9.241512172666525,44.22,12.891252955082741,-4.70846394984326,-5.352043929225137,0.2741309804518141,0.08531910095467188,-0.3753334379413149,-0.19412381951731375,5.7756410256410255,0.8315018315018315,-3.076527331189711,-2.7941176470588234,-5.38,19.13741
34,44,AAPL,Technology,2799236808704,394328000000.0,365817000000.0,274515000000.0,260174000000.0,99803000000.0,94680000000.0,57411000000.0,55256000000.0,5.89,6.15,5.67,3.31,2.9925,6.59,30.21562,27.00607,4.58507130730051,90680500224,1.60093,1.9695887275023682,1.5007132667617689,0.8786635853012749,0.6106445053487756,0.156,30.907384941677492,178.19,2.3695334701610355,1.9768426058012363,1.720809929750991,0.2829244092925685,0.26974205275183616,0.1772557180259843,0.16323009842961633,0.8261495799014942,0.7403989771420975,0.5690624163668262,0.5245440996383175,4.62,46.201973
35,45,AMAT,Technology,121435815936,25785000000.0,23063000000.0,17202000000.0,14608000000.0,6525000000.0,5888000000.0,3619000000.0,2706000000.0,7.59,7.49,6.47,3.95,2.89,7.09,19.0527,20.396332,2.687263768115942,4358499840,0.50482,0.5350992291290799,0.48077080101249287,0.3421251654377009,0.3294375456537619,0.1372,27.967805473472264,145.16,0.4475151713957684,0.4451702457744754,0.5150311968235961,0.24414427897927113,0.22799612778315587,0.1619022055205118,0.14224137931034483,3.2954545454545454,2.865206812652068,2.3530559167750327,1.5889606576629478,1.59,8.594948
36,46,APTV,Consumer Cyclical,27910807552,17489000000.0,15618000000.0,13066000000.0,14357000000.0,594000000.0,590000000.0,1804000000.0,990000000.0,2.24,1.96,1.95,6.72,3.85,6.2,46.0625,16.641935,7.4294352678571425,619500032,0.11031,0.06730115567641061,0.07068407811189649,0.2282099936748893,0.25923016496465046,0.0,45.55154607462554,104.32,0.7763426240652618,0.5236611956391518,0.5567362428842505,0.027122049221496736,0.032765035819403564,0.10295628352927748,0.07355672784010699,0.3447475333720255,0.3283249860879243,0.8970661362506216,9.339622641509434,0.67,3.1609585
37,47,ACGL,Financial Services,28520155136,9599857000.0,8925107000.0,8294948000.0,6783919000.0,1476933000.0,2156849000.0,1405521000.0,1636319000.0,5.2,3.9,5.34,3.38,3.97,7.34,14.726924,10.433243,2.0063928846153845,1731616000,0.16745001,0.11440159943324875,0.15922527383939755,0.10724349349597578,0.14232114454687075,0.0,16.571337274776855,77.05,0.2111072493548255,0.20112320366257055,0.2301866504866592,0.030775524001027954,0.04782270083254353,0.03247334585777645,0.04319132659181999,0.055495978068738024,0.08376027722592792,0.05823467423417472,0.06814057875719323,0.58,2.0556736
38,48,ANET,Technology,54350295040,4381310000.0,2948037000.0,2317512000.0,2410706000.0,1352446000.0,840854000.0,634557000.0,859867000.0,4.75,4.41,2.74,2.09,2.82,6.77,37.11579,26.041359,5.482391368421053,578936256,0.34662,0.2768104432828062,0.21134419142411903,0.1911148751720858,0.297050180917723,0.0,93.91855762386386,177.46,0.00899828483243345,0.014207761524154225,0.021804414131171033,0.19961094605344917,0.14663255923126783,0.133903322677598,0.2054498015669165,34.26689976689977,41.52980688497061,76.32391147462113,207.19686746987952,2.93,9.310801
39,49,AJG,Financial Services,47701872640,8550600000.0,8209400000.0,7003600000.0,7195000000.0,1114200000.0,906800000.0,818800000.0,668800000.0,5.38,5.3,4.47,4.29,3.595815,10.03,41.384758,22.198404,4.126097397769517,1858412544,0.11545,0.12185572422240692,0.10657702975882657,0.13235912191652388,0.12972553583551547,0.4141,25.787970434620572,223.69,0.7015945579421672,0.7748695406892012,0.7865086806116841,0.028636931412210406,0.027194481931324038,0.03666586062674082,0.03406197160144234,0.0012606620955258616,0.0032192381772043095,0.001518718485454759,0.0006869910350858065,2.06,4.61556
40,50,AIZ,Financial Services,7499159040,10193000000.0,10187600000.0,9593400000.0,10072500000.0,276600000.0,1372400000.0,441800000.0,382600000.0,4.52,5.09,22.95,7.02,5.87,13.9,31.214602,10.15036,2.245654867256637,857287488,0.077199996,0.06541017333932414,0.24999544601708654,0.0742346338676614,0.0676832720067931,0.431,8.728323173660968,140.78,0.5036772530564949,0.4012058946754832,0.37854958497160335,0.008350491187605287,0.04047004703419194,0.009894759002819714,0.008638284806011127,0.0004934221872716152,0.006387118185538221,0.0007934792469681092,-3.914854138922888e-05,0.84,1.6671788
41,52,ATO,Utilities,16899200000,4201662000.0,3407490000.0,2821137000.0,2901848000.0,774398000.0,665563000.0,601443000.0,511406000.0,5.76,5.61,5.12,4.89,4.36,6.46,20.305555,18.105263,3.143274826388889,405577504,0.08444,0.0822157891881499,0.08417507821344147,0.08856207066700848,0.08893672471485019,0.4991,41.852256430475,117.48,0.8649529981183959,0.9271227912773279,0.6673256564411342,0.034893812636053664,0.03394229550185525,0.0391589131398385,0.03825707480142874,8.065637628629755,6.158571679729067,5.785776127443436,5.019542023693845,2.43,1.6249862
42,55,AVB,Real Estate,26293956608,2593446000.0,2294850000.0,2301261000.0,2324626000.0,1136775000.0,1004299000.0,827630000.0,785974000.0,7.31,8.13,7.19,5.89,5.64,5.31,25.331053,34.87194,4.770443228454173,1177836032,0.10998,0.10101476395943575,0.09185863506328905,0.07697327070785871,0.07151590899454223,0.72730005,22.34324255469882,185.33,0.7389706166576903,0.7411943719860428,0.7035169817750345,0.05556692314956806,0.05046217428425341,0.04310765104944262,0.041105167283953165,5.360022443937308,4.641152548639031,4.084802479616212,4.7403230281171975,-3.4,2.2227423
43,56,AVY,Consumer Cyclical,14909710336,9039300000.0,8408300000.0,6971500000.0,7070100000.0,757100000.0,740100000.0,555900000.0,303600000.0,6.93,9.28,8.938883,6.664052,3.641736,9.92,26.650795,18.617943,2.6865718614718617,414950016,0.28643,0.37255191418167505,0.3845874038661401,0.3706247083138876,0.2521594684385382,0.4409,35.723172933869705,183.62,1.5264737722665092,1.6133340261899813,1.4112940862724181,0.09522671530092447,0.09284208941743188,0.09114758399055567,0.055312636641888936,0.0040545762633810165,0.01135264108100171,0.004189666979442577,0.0008610212667008656,2.92,7.3914437
44,57,AXON,Industrials,15081465856,1189935000.0,863381000.0,681003000.0,530860000.0,147139000.0,-60018000.0,-1724000.0,882000.0,1.89,2.07,-0.91,-0.03,0.01,3.77,108.0,54.143234,28.64721375661376,21525876,0.10872,0.115995304657266,-0.05727733671550004,-0.0017659320566860092,0.0016228300168354814,0.0,687.989131324551,200.44,0.5605952269271126,,,0.05159343229446817,-0.03555126435692242,-0.001248349955069539,0.0010429982533918137,0.3249751529474126,-0.5230235638594535,-0.01901170035619369,0.019385041429481966,1.6,10.747683
